"Gene","DataPlot"
"1",2
"2",9
"3",6
"4",3
"5",1
"6",10
"7",3
"8",6
"9",1
"10",8
"11",9
"12",7
"13",7
"14",5
"15",7
"16",9
"17",8
"18",10
"19",8
"20",8
"21",3
"22",9
"23",3
"24",8
"25",6
"26",7
"27",2
"28",5
"29",9
"30",4
"31",5
"32",10
"33",2
"34",7
"35",2
"36",3
"37",9
"38",8
"39",1
"40",9
"41",4
"42",4
"43",3
"44",8
"45",2
"46",9
"47",3
"48",7
"49",1
"50",6
"51",7
"52",10
"53",4
"54",1
"55",10
"56",8
"57",8
"58",5
"59",6
"60",2
"61",5
"62",1
"63",2
"64",7
"65",10
"66",4
"67",1
"68",1
"69",4
"70",4
"71",9
"72",2
"73",4
"74",6
"75",6
"76",7
"77",8
"78",4
"79",5
"80",1
"81",6
"82",1
"83",6
"84",2
"85",5
"86",8
"87",3
"88",7
"89",5
"90",10
"91",9
"92",9
"93",3
"94",7
"95",4
"96",4
"97",2
"98",5
"99",1
"100",7
