Gene,DataPlot,
1,9,
2,2,
3,1,
4,2,
5,3,
6,6,
7,3,
8,2,
9,8,
10,5,
11,5,sort of
12,10,
13,4,
14,7,
15,7,
16,8,
17,10,
18,1,
19,5,
20,4,
21,8,
22,5,
23,5,
24,4,
25,3,
26,2,
27,2,
28,4,
29,6,
30,1,
31,5,
32,8,
33,8,
34,2,
35,8,
36,9,
37,2,
38,5,
39,1,
40,2,
41,1,
42,5,
43,7,
44,3,
45,8,
46,1,
47,7,
48,1,
49,10,
50,1,
51,9,
52,3,
53,1,
54,4,
55,4,
56,10,
57,3,
58,2,
59,5,
60,9,
61,9,
62,2,
63,7,
64,9,
65,2,
66,8,
67,7,
68,4,
69,4,
70,3,
71,10,
72,10,
73,5,
74,5,
75,5,
76,7,
77,10,
78,9,
79,8,
80,1,
81,6,
82,10,
83,9,
84,5,
85,1,
86,5,
87,8,
88,10,
89,7,
90,8,
91,1,
92,10,
93,6,
94,7,
95,4,
96,1,
97,3,
98,7,
99,2,
100,2,
