Gene,DataPlot,
1,7,3 (including real data) look good
2,6,
3,6,2 (including real data) look good
4,5,
5,7,
6,2,3 (including real data) look good
7,7,
8,10,
9,5,sort of
10,10,sort of
11,9,
12,5,
13,8,2 (including real data) look good
14,8,
15,2,
16,5,
17,6,
18,1,
19,10,
20,5,
21,3,
22,6,
23,9,
24,7,
25,8,
26,2,
27,8,
28,4,
29,3,
30,10,
31,9,
32,5,
33,8,
34,9,
35,7,
36,1,
37,7,
38,7,
39,1,
40,3,
41,7,
42,5,
43,9,
44,5,
45,9,
46,4,
47,6,
48,1,
49,3,
50,7,
51,3,
52,7,
53,6,
54,4,
55,1,
56,3,
57,1,
58,8,
59,3,
60,10,
61,3,
62,6,
63,7,
64,3,
65,10,
66,3,
67,5,
68,3,
69,3,
70,10,
71,9,
72,3,
73,3,
74,10,
75,8,
76,6,
77,10,
78,2,
79,1,
80,8,
81,1,
82,5,
83,10,
84,2,
85,1,
86,1,
87,4,
88,8,
89,7,
90,8,
91,7,
92,9,
93,1,
94,4,
95,2,
96,6,
97,3,
98,4,
99,8,
100,4,
