Gene,DataPlot,
1,5,sort of
2,7,sort of
3,9,sort of
4,6,sort of
5,8,sort of 1/2
6,5,sort of 1/2
7,7,sort of 1/2
8,9,sort of
9,6,sort of
10,3,sort of
11,1,sort of
12,8,sort of
13,5,sort of
14,5,sort of
15,4,sort of
16,2,sort of
17,1,sort of
18,6,sort of
19,7,sort of
20,8,sort of
21,1,sort of
22,3,sort of
23,8,sort of
24,2,sort of
25,10,sort of
26,3,sort of
27,7,sort of
28,7,sort of 1/2
29,3,sort of
30,10,
31,6,
32,8,
33,7,
34,1,
35,10,
36,2,
37,5,
38,3,
39,10,
40,2,
41,10,
42,6,
43,3,
44,8,
45,5,
46,7,
47,4,
48,3,
49,5,
50,1,
51,3,
52,4,
53,9,
54,9,
55,9,
56,6,
57,9,
58,9,
59,9,
60,8,
61,2,
62,4,
63,1,
64,5,
65,4,
66,9,
67,9,
68,4,
69,1,
70,8,
71,4,
72,2,
73,3,
74,9,
75,7,
76,1,
77,4,
78,9,
79,10,
80,3,
81,6,
82,5,
83,10,
84,6,
85,2,
86,4,
87,6,
88,3,
89,8,
90,3,sort of
91,4,sort of
92,5,sort of
93,1,sort of
94,1,sort of
95,2,sort of
96,3,sort of
97,9,sort of
98,6,sort of
99,6,sort of
100,9,
