Gene,DataPlot,
1,15,
2,8,
3,7,
4,8,
5,7,
6,10,
7,15,
8,9,
9,19,
10,2,
11,16,
12,5,
13,3,
14,12,
15,19,
16,15,one of 2
17,13,
18,9,
19,11,
20,3,
21,10,
22,19,
23,18,
24,19,
25,3,
26,15,
27,18,
28,3,
29,15,
30,15,
31,8,
32,18,
33,8,
34,14,
35,5,
36,4,
37,16,
38,8,
39,6,
40,7,
41,15,
42,12,
43,13,
44,19,
45,14,
46,8,
47,19,
48,4,
49,10,
50,14,
51,11,
52,17,
53,20,
54,19,
55,8,
56,6,
57,4,
58,4,
59,10,
60,5,
61,5,
62,1,
63,7,
64,1,
65,4,
66,15,
67,2,
68,11,
69,2,
70,11,
71,7,
72,20,
73,6,
74,9,
75,14,
76,10,
77,10,
78,20,
79,9,
80,14,
81,15,
82,7,
83,5,
84,10,
85,3,
86,20,
87,6,
88,15,
89,3,
90,18,
91,13,
92,7,
93,13,
94,14,
95,12,
96,2,
97,13,
98,17,
99,19,
100,9,
