Gene,DataPlot,
1,4,
2,13,
3,19,
4,6,
5,3,
6,12,
7,15,
8,1,
9,1,
10,13,19
11,9,18
12,15,17
13,17,11
14,8,17
15,3,16
16,8,7
17,13,sort of
18,9,2
19,14,10
20,14,
21,9,
22,11,
23,5,
24,8,
25,20,
26,8,
27,17,
28,2,
29,15,
30,16,
31,3,
32,5,
33,9,
34,5,
35,18,
36,2,
37,1,
38,1,
39,1,
40,2,
41,2,
42,10,
43,15,
44,15,
45,17,
46,2,
47,8,
48,5,
49,4,
50,15,
51,10,
52,4,
53,7,
54,17,
55,14,
56,10,
57,10,
58,11,
59,15,
60,8,
61,13,
62,12,
63,3,
64,11,
65,14,
66,20,
67,13,
68,3,
69,8,
70,17,
71,17,
72,7,
73,15,
74,4,
75,16,
76,14,
77,7,
78,12,
79,5,
80,15,
81,10,
82,18,
83,20,
84,13,
85,13,
86,6,
87,12,
88,14,
89,5,
90,19,
91,18,
92,12,
93,16,
94,16,
95,1,
96,3,
97,20,
98,9,
99,5,
100,16,
