Gene,DataPlot,
1,16,
2,18,
3,13,
4,15,
5,19,
6,1,
7,13,
8,2,
9,20,
10,17,
11,11,
12,2,
13,4,
14,19,
15,1,
16,16,
17,16,
18,14,
19,19,
20,11,
21,3,
22,7,
23,3,
24,19,
25,18,
26,17,
27,16,
28,5,
29,18,
30,18,
31,10,
32,4,
33,19,
34,7,
35,13,
36,1,
37,5,
38,8,
39,11,
40,15,
41,1,
42,15,
43,5,
44,3,
45,3,
46,6,
47,10,
48,2,
49,15,
50,14,
51,20,
52,3,
53,10,
54,10,
55,19,
56,13,
57,10,
58,3,
59,16,
60,10,
61,13,
62,1,
63,17,
64,8,
65,8,
66,4,
67,3,
68,6,
69,17,
70,7,
71,6,
72,7,
73,15,
74,7,
75,15,
76,1,
77,16,
78,17,
79,20,
80,18,
81,17,
82,6,
83,20,
84,17,
85,15,
86,14,
87,3,
88,4,
89,3,
90,18,
91,14,
92,20,
93,11,
94,2,
95,19,
96,13,
97,13,
98,14,
99,7,
100,13,
