"Gene","DataPlot"
"1",11
"2",4
"3",20
"4",12
"5",5
"6",15
"7",1
"8",20
"9",18
"10",17
"11",1
"12",3
"13",19
"14",16
"15",3
"16",10
"17",10
"18",19
"19",6
"20",5
"21",8
"22",18
"23",15
"24",14
"25",8
"26",15
"27",15
"28",13
"29",7
"30",18
"31",19
"32",11
"33",15
"34",18
"35",4
"36",13
"37",4
"38",11
"39",14
"40",1
"41",14
"42",2
"43",6
"44",19
"45",8
"46",2
"47",12
"48",4
"49",7
"50",8
"51",20
"52",15
"53",17
"54",3
"55",12
"56",4
"57",5
"58",11
"59",16
"60",6
"61",2
"62",15
"63",6
"64",2
"65",4
"66",2
"67",6
"68",3
"69",3
"70",20
"71",9
"72",9
"73",19
"74",6
"75",7
"76",18
"77",10
"78",3
"79",11
"80",10
"81",15
"82",9
"83",4
"84",13
"85",15
"86",12
"87",8
"88",7
"89",10
"90",19
"91",10
"92",10
"93",12
"94",2
"95",20
"96",2
"97",2
"98",13
"99",17
"100",16
