Gene,DataPlot,
1,1,
2,10,
3,5,
4,8,
5,10,
6,8,
7,10,
8,2,
9,1,
10,10,
11,9,
12,7,
13,7,
14,9,
15,2,
16,4,
17,8,
18,10,
19,4,
20,6,
21,9,
22,4,
23,3,
24,6,
25,6,
26,6,
27,6,
28,4,
29,8,
30,10,
31,5,
32,3,
33,2,
34,5,
35,4,
36,5,
37,8,
38,8,
39,6,
40,4,
41,8,
42,9,
43,2,
44,3,
45,6,
46,5,
47,6,
48,2,
49,2,
50,10,
51,8,
52,7,
53,8,
54,7,
55,6,
56,5,
57,2,
58,2,
59,8,
60,3,
61,5,
62,9,
63,8,
64,2,
65,7,
66,4,
67,5,
68,9,
69,4,
70,6,
71,4,
72,7,
73,3,
74,2,
75,5,
76,6,
77,7,
78,6,
79,4,
80,1,
81,4,
82,9,
83,5,
84,9,
85,7,
86,1,
87,10,
88,3,
89,2,
90,6,
91,6,
92,7,
93,8,
94,4,
95,8,
96,4,
97,8,
98,3,
99,3,
100,6,
