"Gene","DataPlot"
"1",4
"2",8
"3",3
"4",10
"5",9
"6",8
"7",3
"8",5
"9",1
"10",10
"11",3
"12",9
"13",8
"14",10
"15",10
"16",3
"17",10
"18",10
"19",6
"20",9
"21",6
"22",9
"23",10
"24",9
"25",2
"26",3
"27",9
"28",1
"29",8
"30",1
"31",3
"32",6
"33",7
"34",8
"35",3
"36",5
"37",8
"38",10
"39",3
"40",1
"41",5
"42",3
"43",6
"44",9
"45",4
"46",8
"47",6
"48",3
"49",2
"50",9
"51",9
"52",3
"53",2
"54",5
"55",7
"56",10
"57",8
"58",7
"59",2
"60",6
"61",7
"62",7
"63",1
"64",2
"65",1
"66",7
"67",8
"68",6
"69",6
"70",1
"71",10
"72",8
"73",3
"74",6
"75",4
"76",7
"77",1
"78",4
"79",4
"80",10
"81",10
"82",10
"83",6
"84",7
"85",7
"86",3
"87",3
"88",5
"89",7
"90",2
"91",6
"92",4
"93",5
"94",7
"95",9
"96",6
"97",2
"98",3
"99",4
"100",2
