"Gene","DataPlot"
"1",8
"2",9
"3",4
"4",2
"5",3
"6",7
"7",1
"8",6
"9",1
"10",7
"11",5
"12",6
"13",10
"14",8
"15",8
"16",7
"17",3
"18",8
"19",2
"20",6
"21",10
"22",2
"23",1
"24",1
"25",1
"26",6
"27",5
"28",2
"29",3
"30",9
"31",7
"32",7
"33",8
"34",1
"35",9
"36",9
"37",2
"38",10
"39",1
"40",10
"41",9
"42",9
"43",3
"44",6
"45",9
"46",3
"47",5
"48",7
"49",1
"50",8
"51",3
"52",10
"53",1
"54",8
"55",2
"56",7
"57",4
"58",7
"59",10
"60",10
"61",4
"62",8
"63",9
"64",6
"65",2
"66",5
"67",7
"68",2
"69",5
"70",1
"71",5
"72",1
"73",9
"74",10
"75",5
"76",1
"77",10
"78",4
"79",2
"80",5
"81",9
"82",1
"83",5
"84",10
"85",2
"86",5
"87",1
"88",9
"89",2
"90",10
"91",8
"92",2
"93",6
"94",2
"95",1
"96",1
"97",6
"98",9
"99",5
"100",4
