Gene,DataPlot,,
1,6,,
2,7,,
3,10,,
4,8,,
5,9,,
6,2,,higher counts
7,4,,higher counts
8,1,,
9,9,,higher counts
10,8,,higher counts
11,6,,lower counts
12,3,,
13,4,,lower counts
14,4,,
15,8,,
16,7,,higher counts
17,10,,
18,3,,
19,8,,lower counts
20,8,,
21,4,,
22,10,,
23,2,,
24,6,,
25,8,,
26,4,,
27,2,,
28,6,,
29,8,,
30,7,,
31,3,,
32,3,,
33,4,,
34,5,,
35,3,,
36,10,,
37,8,,
38,1,,
39,4,,
40,7,,
41,4,,
42,2,,
43,3,,
44,1,,
45,6,,
46,8,,
47,10,,
48,9,,
49,2,,
50,9,,
51,7,,
52,8,,
53,7,,
54,1,,
55,4,,
56,7,,
57,4,,
58,6,,
59,10,,
60,4,,
61,3,,
62,5,,
63,1,,
64,5,,
65,4,,
66,10,,
67,2,,
68,8,,
69,3,,
70,1,,
71,2,,
72,5,,
73,9,,
74,2,,
75,2,,
76,7,,
77,6,,
78,5,,
79,6,,
80,3,,
81,1,,
82,8,,
83,8,,
84,5,,
85,2,,
86,6,,
87,10,,
88,3,,
89,3,,
90,10,,
91,5,,
92,7,,low and flat
93,1,,higher
94,10,,
95,7,,low and flat
96,5,,
97,6,,higher
98,3,,
99,6,,low and flat
100,7,,
