Gene,PlotWithData
1,10
2,4
3,6
4,13
5,16
6,11
7,3
8,14
9,12
10,3
11,18
12,9
13,16
14,4
15,20
16,2
17,14
18,9
19,8
20,17
21,9
22,16
23,15
24,1
25,11
26,20
27,13
28,13
29,1
30,10
31,4
32,10
33,19
34,20
35,10
36,11
37,1
38,19
39,7
40,5
41,16
42,4
43,4
44,5
45,15
46,8
47,16
48,7
49,17
50,7
51,2
52,18
53,5
54,6
55,11
56,10
57,2
58,13
59,17
60,15
61,17
62,10
63,1
64,10
65,7
66,5
67,18
68,8
69,13
70,9
71,1
72,9
73,2
74,15
75,16
76,2
77,19
78,3
79,16
80,20
81,5
82,20
83,18
84,20
85,16
86,17
87,18
88,17
89,5
90,1
91,20
92,12
93,6
94,16
95,13
96,2
97,2
98,5
99,12
100,12
