"Gene","DataPlot"
"1",10
"2",8
"3",2
"4",7
"5",5
"6",8
"7",2
"8",7
"9",6
"10",7
"11",10
"12",6
"13",3
"14",8
"15",2
"16",8
"17",9
"18",4
"19",6
"20",6
"21",1
"22",1
"23",7
"24",2
"25",7
"26",9
"27",5
"28",8
"29",2
"30",7
"31",9
"32",9
"33",5
"34",9
"35",8
"36",7
"37",2
"38",1
"39",5
"40",3
"41",5
"42",7
"43",1
"44",10
"45",3
"46",4
"47",2
"48",6
"49",3
"50",7
"51",4
"52",4
"53",9
"54",10
"55",7
"56",4
"57",7
"58",7
"59",6
"60",3
"61",8
"62",9
"63",1
"64",6
"65",3
"66",1
"67",4
"68",9
"69",4
"70",6
"71",3
"72",6
"73",2
"74",2
"75",9
"76",6
"77",7
"78",7
"79",3
"80",1
"81",6
"82",10
"83",1
"84",6
"85",4
"86",4
"87",10
"88",3
"89",1
"90",10
"91",5
"92",8
"93",5
"94",5
"95",3
"96",1
"97",6
"98",8
"99",1
"100",8
