"Gene","DataPlot"
"1",20
"2",17
"3",14
"4",16
"5",20
"6",17
"7",8
"8",15
"9",6
"10",17
"11",4
"12",13
"13",9
"14",5
"15",17
"16",10
"17",19
"18",15
"19",4
"20",11
"21",17
"22",11
"23",13
"24",4
"25",3
"26",14
"27",6
"28",5
"29",20
"30",7
"31",11
"32",18
"33",11
"34",19
"35",11
"36",20
"37",4
"38",8
"39",11
"40",11
"41",9
"42",10
"43",14
"44",2
"45",2
"46",18
"47",15
"48",19
"49",13
"50",15
"51",14
"52",4
"53",11
"54",10
"55",14
"56",7
"57",7
"58",18
"59",15
"60",10
"61",3
"62",17
"63",2
"64",13
"65",1
"66",2
"67",7
"68",15
"69",8
"70",1
"71",8
"72",13
"73",15
"74",10
"75",5
"76",16
"77",19
"78",18
"79",8
"80",8
"81",16
"82",11
"83",10
"84",8
"85",2
"86",18
"87",3
"88",10
"89",12
"90",8
"91",5
"92",4
"93",15
"94",17
"95",18
"96",7
"97",6
"98",12
"99",7
"100",10
