"Gene","DataPlot"
"1",20
"2",5
"3",18
"4",8
"5",5
"6",2
"7",11
"8",18
"9",8
"10",12
"11",5
"12",2
"13",14
"14",1
"15",5
"16",5
"17",17
"18",11
"19",8
"20",7
"21",10
"22",18
"23",16
"24",12
"25",20
"26",18
"27",7
"28",14
"29",19
"30",11
"31",3
"32",13
"33",11
"34",16
"35",4
"36",10
"37",16
"38",13
"39",18
"40",15
"41",19
"42",4
"43",12
"44",6
"45",13
"46",3
"47",14
"48",8
"49",14
"50",17
"51",19
"52",16
"53",18
"54",11
"55",3
"56",9
"57",1
"58",5
"59",13
"60",20
"61",2
"62",7
"63",16
"64",20
"65",3
"66",20
"67",10
"68",13
"69",13
"70",1
"71",16
"72",11
"73",3
"74",2
"75",19
"76",19
"77",10
"78",6
"79",2
"80",14
"81",10
"82",10
"83",18
"84",10
"85",9
"86",4
"87",4
"88",6
"89",13
"90",3
"91",1
"92",1
"93",10
"94",17
"95",7
"96",19
"97",2
"98",20
"99",18
"100",20
