"Gene","DataPlot"
"1",16
"2",3
"3",3
"4",4
"5",4
"6",3
"7",8
"8",5
"9",12
"10",9
"11",5
"12",2
"13",2
"14",2
"15",9
"16",9
"17",6
"18",14
"19",3
"20",6
"21",15
"22",20
"23",5
"24",4
"25",10
"26",11
"27",6
"28",19
"29",18
"30",18
"31",12
"32",12
"33",14
"34",15
"35",14
"36",2
"37",7
"38",4
"39",17
"40",1
"41",8
"42",3
"43",18
"44",9
"45",5
"46",16
"47",6
"48",9
"49",14
"50",16
"51",19
"52",7
"53",17
"54",20
"55",3
"56",17
"57",19
"58",12
"59",18
"60",10
"61",11
"62",13
"63",8
"64",20
"65",11
"66",7
"67",19
"68",15
"69",2
"70",3
"71",18
"72",8
"73",1
"74",9
"75",9
"76",17
"77",2
"78",9
"79",9
"80",9
"81",16
"82",8
"83",10
"84",5
"85",7
"86",4
"87",18
"88",20
"89",19
"90",17
"91",2
"92",1
"93",7
"94",8
"95",13
"96",19
"97",5
"98",14
"99",3
"100",7
