"Gene","DataPlot"
"1",4
"2",17
"3",11
"4",18
"5",6
"6",17
"7",5
"8",16
"9",18
"10",3
"11",20
"12",8
"13",7
"14",13
"15",9
"16",14
"17",13
"18",1
"19",18
"20",3
"21",4
"22",19
"23",2
"24",4
"25",5
"26",10
"27",17
"28",2
"29",2
"30",7
"31",14
"32",13
"33",11
"34",4
"35",3
"36",9
"37",5
"38",16
"39",5
"40",9
"41",1
"42",15
"43",1
"44",10
"45",7
"46",19
"47",1
"48",4
"49",15
"50",7
"51",7
"52",1
"53",8
"54",20
"55",7
"56",2
"57",8
"58",16
"59",3
"60",13
"61",15
"62",1
"63",20
"64",17
"65",11
"66",9
"67",10
"68",19
"69",16
"70",20
"71",4
"72",14
"73",16
"74",12
"75",6
"76",17
"77",17
"78",19
"79",3
"80",19
"81",10
"82",9
"83",19
"84",6
"85",15
"86",2
"87",14
"88",15
"89",17
"90",18
"91",6
"92",11
"93",5
"94",6
"95",11
"96",5
"97",17
"98",7
"99",19
"100",13
